Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
ECzg,4,"[aa, aAA, aAAA, a]","[2, 1, 2, 1]",0.024803599997540005,"[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 1.0, 1.0], [1.0, 0, 0, 0, 0, 0], [1.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 1.0, 0]]",5,"[ab, aBBB, AAAB, bbB, b]","[2, 1, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 1.0, 0]], [[0, 0, 0, 0.0, 1.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, 0, 0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0.0, 0]]]",2,,,,True,32.27888630000234,1.4112184000114212
ECzo,3,"[AA, aaA, aaaa]","[3, 2, 1]",0.018838099989807233,"[[0, 0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 1.0, 1.0, 0, 0, 0], [1.0, 1.0, 1.0, 1.0, 0, 0]]",3,"[aB, Abbb, AbB]","[3, 1, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 1.0, 0, 0, 0], [1.0, 1.0, 0.0, 1.0, 0, 0]]]",2,,,,True,0.11519789999874774,2.34624569999869
ECzw,4,"[aAAAA, AAA, aa, aaAA]","[1, 1, 3, 1]",0.027794299996457994,"[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 1.0], [0, 0, 0, 0, 1.0, 1.0], [1.0, 0, 0, 0, 0, 1.0], [1.0, 0.0, 0.0, 0, 0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0]]",4,"[aB, Abbb, AbbBB, AbB]","[3, 1, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 0, 0.0], [1.0, 0.0, 1.0, 0, 0, 1.0], [0.0, 1.0, 0.0, 1.0, 0.0, 0]]]",2,,,,True,1.1071606999903452,4.7808184000023175
EC~o,4,"[aAA, aaaA, AA, aA]","[2, 2, 1, 1]",0.028758099986589514,"[[0, 0, 0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0], [1.0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0.0, 1.0, 0, 0], [0.0, 1.0, 1.0, 1.0, 0, 0]]",4,"[aBB, aB, Abbb, ABB]","[1, 2, 2, 1]","[[[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 0.0, 1.0], [1.0, 0, 0, 0, -0.0, -0.0], [0.0, 0.0, 0.0, 0.0, 0, 0], [0.0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [-0.0, 0, 0, 0, -0.0, -0.0], [1.0, 0.0, 1.0, 1.0, 0, 0], [1.0, 1.0, 0.0, 1.0, 0, 0]]]",2,,,,True,1.4997838999988744,3.146573100006208
EC~w,3,"[aaAAA, aA, aaA]","[2, 2, 2]",0.027593099992373027,"[[0, 0, 0, 1.0, 0.0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0, 0, 0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0, 1.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0]]",4,"[aB, AABBB, bbbbB, bbB]","[2, 1, 1, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0, 0, 0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0, 0.0], [1.0, 1.0, 1.0, 0.0, 1.0, 0]]]",2,,,,True,3.270741900007124,4.989522799995029
EEhW,3,"[aaA, AA, a]","[3, 2, 1]",0.05074020000756718,"[[0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 1.0, 0], [1.0, 1.0, 0, 0, 0, -0.0], [1.0, 0, 0.0, 0, 0, 1.0], [0, 1.0, 0, 1.0, 0.0, 0]]",4,"[aB, AAB, bbB, b]","[2, 1, 2, 1]","[[[0, 0, 0, 1.0, -0.0, 0], [0, 0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, 0.0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0.0], [0, 0.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 1.0, 0], [-0.0, -0.0, 0, 0, 0, -0.0], [1.0, 0, -0.0, 0, 0, 1.0], [0, 1.0, 0, 1.0, -0.0, 0]]]",2,,,,True,0.7635678999940865,0.9234597000031499
EEh_,1,[aA],[6],0.004114499999559484,"[[0, 0, 0, 1.0, -0.0, 0], [0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, 1.0, -0.0], [0.0, 1.0, 0, 0, 0, 0], [1.0, 0, 0.0, 0, 0, 0], [0, 0.0, 1.0, 0, 0, 0]]",4,"[aC, AB, bb, cc]","[2, 2, 1, 1]","[[[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 1.0, 0, 0, 0, 0], [0.0, 0, 1.0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0, 0, 0], [0, 1.0, 1.0, 0, 0, 0]], [[0, 0, 0, 1.0, 1.0, 0], [0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 0.0, 0, 0, 0, 0], [0.0, 0, 0.0, 0, 0, 0], [0, 0.0, 0.0, 0, 0, 0]]]",3,,,,True,2.5475325000006706,6.9022286999970675
EEho,3,"[aaA, aA, AA]","[2, 3, 1]",0.019076099997619167,"[[0, 0, 0, -0.0, 1.0, 0], [0, 0, 0, -0.0, 0, 1.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0, 0, 0, -0.0], [0.0, 0, 1.0, 0, 0, 0], [0, 0.0, 1.0, 1.0, 0, 0]]",4,"[aB, AA, AbB, bbb]","[3, 1, 1, 1]","[[[0, 0, 0, 0.0, 1.0, 0], [0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0], [0, 0.0, 0.0, 0.0, 0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [1.0, 1.0, 0, 0, 0, 1.0], [0.0, 0, 0.0, 0, 0, 0], [0, 0.0, 1.0, 0.0, 0, 0]]]",2,,,,True,1.881424999999581,0.274152400001185
EEhw,3,"[AA, aaA, aaaa]","[3, 2, 1]",0.019759000002522953,"[[0, 0, 0, -0.0, -0.0, 0], [0, 0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, -0.0], [1.0, 1.0, 0, 0, 0, -0.0], [1.0, 0, 1.0, 0, 0, -0.0], [0, 1.0, 1.0, 1.0, 1.0, 0]]",3,"[aB, Abb, AbBB]","[3, 2, 1]","[[[0, 0, 0, 1.0, 0.0, 0], [0, 0, 0, 0.0, 0, 1.0], [0, 0, 0, 0, 1.0, 0.0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0.0], [0, 0.0, 0.0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0], [0, 0, 0, 0.0, 0, 0.0], [0, 0, 0, 0, 0.0, 0.0], [0.0, 1.0, 0, 0, 0, 1.0], [1.0, 0, 0.0, 0, 0, 1.0], [0, 0.0, 1.0, 0.0, 0.0, 0]]]",2,,,,True,0.16943369999353308,2.3601412999996683
EEiW,3,"[a, aAA, aaA]","[2, 3, 1]",0.018773100004182197,"[[0, 0, 0, 0.0, 0.0, 1.0], [0, 0, 0, 1.0, 0, 0], [0, 0, 0, 0, 1.0, 0], [1.0, 0.0, 0, 0, 0, 0.0], [1.0, 0, 0.0, 0, 0, 0.0], [0.0, 0, 0, 1.0, 1.0, 0]]",4,"[aBB, ABB, bbB, b]","[1, 1, 2, 2]","[[[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 0.0, 0, 0], [0, 0, 0, 0, 0.0, 0], [0.0, 0.0, 0, 0, 0, 0.0], [0.0, 0, 0.0, 0, 0, 0.0], [1.0, 0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0.0, 0.0, 0.0], [0, 0, 0, 1.0, 0, 0], [0, 0, 0, 0, 1.0, 0], [1.0, 0.0, 0, 0, 0, 1.0], [1.0, 0, 0.0, 0, 0, 1.0], [0.0, 0, 0, 0.0, 0.0, 0]]]",2,,,,True,1.2665151999972295,0.20467469999857713
