Graph,T_1 Value,T_1 Pot,T_1 Ratios,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Pot Ratios,TileTime,BondTime
E?Bw,5,2,1,"['a', 'AAAAA']","{'a': [0, 1, 2, 3, 4], 'AAAAA': [5]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",1,2,,,,TRUE,0.0200408,3.20E-06
E?bo,5,3,2,"['a', 'AAAB', 'Ab']","{'a': [1, 2, 3, 4], 'AAAB': [5], 'Ab': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.0940456,0.1899425
E?zo,5,4,2,"['aB', 'AAA', 'bbbB', 'b']","{'aB': [0, 1, 2], 'AAA': [4], 'bbbB': [5], 'b': [3]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0]]]",2,4,,,,TRUE,0.539344,0.3649199
EUzo,5,3,2,"['aBBB', 'AbBB', 'bbB']","{'aBBB': [0], 'AbBB': [5], 'bbB': [1, 2, 3, 4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.3601916,1.3272178
EUzw,5,3,2,"['abB', 'AbbB', 'AbBBB']","{'abB': [1, 2, 3], 'AbbB': [0, 4], 'AbBBB': [5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]]]",2,3,,,,TRUE,0.2833942,5.0911562
EU~w,5,4,2,"['aBB', 'AbbB', 'ABBB', 'bbbbB']","{'aBB': [1, 2], 'AbbB': [3], 'ABBB': [0], 'bbbbB': [4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0]]]",2,4,,,,TRUE,11.0974286,7.0137261
EV~w,5,3,2,"['abb', 'abBB', 'AbbBB']","{'abb': [1], 'abBB': [0, 2], 'AbbBB': [3, 4, 5]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]]",2,3,,,,TRUE,0.3998772,8.0943679
E]yw,5,3,2,"['abB', 'aBBB', 'AbbB']","{'abB': [1, 3], 'aBBB': [5], 'AbbB': [0, 2, 4]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.4674821,1.2659206
E]zg,5,3,2,"['aBBB', 'AA', 'bbbB']","{'aBBB': [0, 1], 'AA': [3], 'bbbB': [2, 4, 5]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0]]]",2,3,,,,TRUE,0.3337028,0.3220487
E]zo,5,3,2,"['aBB', 'AABB', 'bbbB']","{'aBB': [3, 4], 'AABB': [1], 'bbbB': [0, 2, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.3164432,1.4991509
