Graph,T_1 Value,T_1 Pot,T_1 Time,T_1 Orientation,T_2 Value,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Pot,B_2 Orientation,SamePot,TileTime,BondTime
E?Bw,1,2,1,"['a', 'AAAAA']","{'a': [0, 1, 2, 3, 4], 'AAAAA': [5]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]]]",1,2,,,,TRUE,0.0174538,3.10E-06
E?bo,1,3,2,"['a', 'AAAB', 'Ab']","{'a': [1, 2, 3, 4], 'AAAB': [5], 'Ab': [0]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.096515,0.2417511
E?zo,1,4,2,"['aB', 'AAA', 'bbbB', 'b']","{'aB': [0, 1, 2], 'AAA': [4], 'bbbB': [5], 'b': [3]}","[[[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0]]]",2,4,,,,TRUE,0.7113376,1.3005228
EUzo,1,3,2,"['aBBB', 'AbBB', 'bbB']","{'aBBB': [0], 'AbBB': [5], 'bbB': [1, 2, 3, 4]}","[[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.4067941,2.0473668
EUzw,1,3,2,"['abB', 'AbbB', 'AbBBB']","{'abB': [1, 2, 3], 'AbbB': [0, 4], 'AbBBB': [5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1], [0, 1, 0, 0, 0, 0]]]",2,3,,,,TRUE,0.2928316,6.7971538
EU~w,1,4,2,"['aBB', 'AbbB', 'ABBB', 'bbbbB']","{'aBB': [1, 2], 'AbbB': [3], 'ABBB': [0], 'bbbbB': [4, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0]]]",2,4,,,,TRUE,10.3361156,9.0524142
EV~w,1,3,2,"['abb', 'abBB', 'AbbBB']","{'abb': [1], 'abBB': [0, 2], 'AbbBB': [3, 4, 5]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0]]]",2,3,,,,TRUE,0.3009882,10.4084124
E]yw,1,3,2,"['abB', 'aBBB', 'AbbB']","{'abB': [1, 3], 'aBBB': [4], 'AbbB': [0, 2, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0]], [[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.5339595,2.4710576
E]zg,1,3,2,"['aBBB', 'AA', 'bbbB']","{'aBBB': [0, 1], 'AA': [3], 'bbbB': [2, 4, 5]}","[[[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0]]]",2,3,,,,TRUE,0.3099853,1.1226429
E]zo,1,3,2,"['aBB', 'AABB', 'bbbB']","{'aBB': [3, 4], 'AABB': [0], 'bbbB': [1, 2, 5]}","[[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0], [1, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [1, 1, 0, 1, 0, 0]]]",2,3,,,,TRUE,0.3169031,2.7710787
