Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
G???F{,3,2,1.0,"['bbbbbbb', 'B']","{'bbbbbbb': [7], 'B': [0, 1, 2, 3, 4, 5, 6]}","[[[0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]]]",1.0,2,,,,True,0.0174865890294313,7.625762373209e-05
G??CFw,3,3,2.0,"['aC', 'ACCCCC', 'c']","{'aC': [0], 'ACCCCC': [7], 'c': [1, 2, 3, 4, 5, 6]}","[[[0, 0, 0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [1.0, 0, 0, 0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]]]",2.0,3,,,,True,0.0596730653196573,0.6083329543471336
G??FC{,3,4,3.0,"['aBBC', 'ABBBB', 'bc', 'b']","{'aBBC': [6], 'ABBBB': [7], 'bc': [0], 'b': [1, 2, 3, 4, 5]}","[[[0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, 1.0], [-0.0, 0, 0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, 0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, 0, 0, 1.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, -0.0, -0.0, -0.0, -0.0, 0]]]",2.0,4,"['aaBBB', 'AbBB', 'AB', 'b']","{'aaBBB': [7], 'AbBB': [6], 'AB': [0], 'b': [1, 2, 3, 4, 5]}","[[[0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [1.0, 0, 0, -0.0, -0.0, -0.0, 1.0, 0]], [[0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [1.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, -0.0, -0.0, -0.0, -0.0, 0]]]",False,0.3179997550323605,8.441970289684832
G?AFFo,5,4,2.0,"['aB', 'AABBB', 'bbB', 'b']","{'aB': [1, 2], 'AABBB': [7], 'bbB': [0, 6], 'b': [3, 4, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,0.9596011387184262,7.702677063643932
G?AFFs,5,5,2.0,"['ab', 'aBBBBB', 'AAAB', 'bbB', 'b']","{'ab': [1, 2], 'aBBBBB': [7], 'AAAB': [6], 'bbB': [0], 'b': [3, 4, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,25.99994050245732,8.900167366489768
G?AFFw,5,4,2.0,"['aB', 'AAAbBB', 'bbB', 'b']","{'aB': [1, 2, 5], 'AAAbBB': [7], 'bbB': [0, 6], 'b': [3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,1.045524108223617,7.928022102452815
G?AFF{,5,5,2.0,"['aB', 'AAbBBBB', 'Abbb', 'bbB', 'b']","{'aB': [1, 2, 5], 'AAbBBBB': [7], 'Abbb': [6], 'bbB': [0], 'b': [3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,8.409086909145117,13.267057981342075
G?AFKw,5,4,2.0,"['aBBB', 'AAb', 'bbB', 'b']","{'aBBB': [6, 7], 'AAb': [0], 'bbB': [5], 'b': [1, 2, 3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,2.4604762187227607,3.491595348343253
G?AFK{,5,4,2.0,"['aBBBB', 'AbBBB', 'bbB', 'b']","{'aBBBB': [7], 'AbBBB': [6], 'bbB': [0, 5], 'b': [1, 2, 3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]], [[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,5.478322974406183,9.632969400845468
G?AFMw,5,5,2.0,"['aAB', 'abbB', 'ab', 'AAbbb', 'B']","{'aAB': [0, 5], 'abbB': [6], 'ab': [1], 'AAbbb': [7], 'B': [2, 3, 4]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 0, 1, 1, 0, 0, 0]]]",2.0,5,,,,True,34.82593472208828,15.261007484979928
