Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
G?bNAk,3,5,3.0,"['abc', 'AAbc', 'bBCC', 'Bc', 'B']","{'abc': [0, 1], 'AAbc': [6], 'bBCC': [5, 7], 'Bc': [4], 'B': [2, 3]}","[[[0, 0, 0, 0, 0.0, 0.0, 1.0, 0], [0, 0, 0, 0, 0, -0.0, 1.0, 0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, 0, 0], [0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [0, 0.0, 0, -0.0, 0, -0.0, -0.0, 0]], [[0, 0, 0, 0, 1.0, -0.0, -0.0, 0], [0, 0, 0, 0, 0, 1.0, -0.0, 0.0], [0, 0, 0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, 0, 0], [0.0, 0.0, 0, 0, 0.0, 0, 0, 1.0], [-0.0, -0.0, 1.0, 0, 0, 0, 0, 0.0], [0, -0.0, 0, 1.0, 0, 0.0, 0.0, 0]], [[0, 0, 0, 0, 0.0, 1.0, -0.0, 0], [0, 0, 0, 0, 0, 0.0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0, 0, 0.0], [-0.0, 0, 0, 0, 0, 1.0, 0, 0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, 0.0, 0, 0, 0, 0, 1.0], [0, -0.0, 0, -0.0, 0, -0.0, -0.0, 0]]]",2.0,5,"['aaab', 'aAAb', 'aAB', 'Ab', 'B']","{'aaab': [7], 'aAAb': [5, 6], 'aAB': [0, 1], 'Ab': [4], 'B': [2, 3]}","[[[0, 0, 0, 0, -0.0, 1.0, -0.0, 0], [0, 0, 0, 0, 0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, 0, 0], [-0.0, -0.0, 0, 0, 1.0, 0, 0, -0.0], [1.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [0, 1.0, 0, -0.0, 0, 1.0, 1.0, 0]], [[0, 0, 0, 0, -0.0, -0.0, -0.0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [1.0, 0, 0, 0, 0, -0.0, 0, 0], [-0.0, 1.0, 0, 0, -0.0, 0, 0, -0.0], [-0.0, -0.0, 1.0, 0, 0, 0, 0, -0.0], [0, -0.0, 0, 1.0, 0, -0.0, -0.0, 0]]]",False,179.73493394162506,42.77389335632324
G?bNAs,3,4,2.0,"['accc', 'Accc', 'cCC', 'C']","{'accc': [6], 'Accc': [7], 'cCC': [0, 1, 4, 5], 'C': [2, 3]}","[[[0, 0, 0, 0, -0.0, -0.0, 0.0, 0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0.0, 0, -0.0], [0.0, -0.0, 0, 0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, 1.0], [0, -0.0, 0, -0.0, 0.0, 0, -0.0, 0]], [[0, 0, 0, 0, -0.0, 0.0, -0.0, 0], [0, 0, 0, 0, 0, 0.0, 0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0.0, 0, -0.0], [-0.0, -0.0, 0, 0, 0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, -0.0], [0, -0.0, 0, -0.0, -0.0, 0, 0.0, 0]], [[0, 0, 0, 0, 1.0, -0.0, 0.0, 0], [0, 0, 0, 0, 0, 1.0, -0.0, 0.0], [0, 0, 0, 0, 0, 0, 0.0, 0], [0, 0, 0, 0, 0, 0, 0, 0.0], [0.0, 0, 0, 0, 0, 1.0, 0, -0.0], [1.0, -0.0, 0, 0, 0.0, 0, 0, 0], [1.0, 1.0, 1.0, 0, 0, 0, 0, -0.0], [0, 1.0, 0, 1.0, 1.0, 0, -0.0, 0]]]",2.0,4,,,,True,15.15457441750914,12.361617587506773
G?bNCs,5,5,2.0,"['abB', 'a', 'AbbB', 'Ab', 'ABBB']","{'abB': [4, 5], 'a': [2, 3], 'AbbB': [0, 7], 'Ab': [1], 'ABBB': [6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0]]]",2.0,5,,,,True,52.44909399095923,10.045123231597245
G?bauK,5,5,2.0,"['abB', 'a', 'AbbB', 'Ab', 'ABBB']","{'abB': [0, 1], 'a': [2, 3], 'AbbB': [5, 6], 'Ab': [4], 'ABBB': [7]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,44.096108769997954,12.793139898218216
G?bau[,5,4,2.0,"['aBBB', 'AAbbB', 'bbB', 'b']","{'aBBB': [5, 6], 'AAbbB': [7], 'bbB': [0, 1, 4], 'b': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,1.9719758443534372,43.41707908734679
G?baug,5,5,2.0,"['abB', 'a', 'AbbB', 'Ab', 'ABBB']","{'abB': [0, 1, 6], 'a': [2], 'AbbB': [7], 'Ab': [3, 4], 'ABBB': [5]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0]]]",2.0,5,,,,True,36.62220410536975,11.224331037141384
G?bauk,5,5,2.0,"['ab', 'aBBB', 'Abbbb', 'AbB', 'A']","{'ab': [3, 4], 'aBBB': [5, 6], 'Abbbb': [7], 'AbB': [0, 1], 'A': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0]]]",2.0,5,,,,True,10.72407643403858,48.65087290946394
G?bauw,5,5,2.0,"['abB', 'a', 'AAbb', 'AABBB', 'Ab']","{'abB': [0, 1, 4, 6], 'a': [2], 'AAbb': [5], 'AABBB': [7], 'Ab': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,17.49971076566726,32.45796128269285
G?bavG,5,5,4.0,"['aDD', 'A', 'bCd', 'BcCD', 'cd']","{'aDD': [6], 'A': [3], 'bCd': [0, 1], 'BcCD': [5, 7], 'cd': [2, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,6,"['aAB', 'abbB', 'ab', 'AAAb', 'bBB', 'B']","{'aAB': [0], 'abbB': [5], 'ab': [2, 4], 'AAAb': [7], 'bBB': [1, 6], 'B': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0]]]",False,2111.882995825261,658.1679149018601
G?bavK,5,5,2.0,"['ab', 'aBBB', 'Abbbb', 'AbB', 'A']","{'ab': [2, 4], 'aBBB': [5, 6], 'Abbbb': [7], 'AbB': [0, 1], 'A': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 1, 0]]]",2.0,5,,,,True,18.30873306002468,42.85999679379165
