Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
G?rM^w,3,4,3.0,"['accC', 'AbcCC', 'ABBCCC', 'c']","{'accC': [0, 1, 6], 'AbcCC': [4, 5], 'ABBCCC': [7], 'c': [2, 3]}","[[[0, 0, 0, 0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 1.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, -0.0, -0.0, 1.0], [-0.0, -0.0, 0, 0, -0.0, 0, -0.0, 1.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, -0.0, 1.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [-0.0, 1.0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, 1.0, 0, -0.0, -0.0], [1.0, -0.0, 0, 0, 1.0, -0.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]]]",2.0,5,"['aaab', 'aAAB', 'aAbBB', 'Abbbbb', 'B']","{'aaab': [1], 'aAAB': [0, 6], 'aAbBB': [4, 5], 'Abbbbb': [7], 'B': [2, 3]}","[[[0, 0, 0, 0, -0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 1.0, 1.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [1.0, -0.0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 1.0, -0.0], [1.0, -0.0, 0, 0, -0.0, -0.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, -0.0, 1.0, -0.0], [-0.0, -0.0, 0, 0, 1.0, 0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, 0, 0], [1.0, -0.0, 1.0, 1.0, 1.0, 1.0, 0, 0]]]",False,0.7797711566090584,46.459043896757066
G?rM^{,3,4,2.0,"['aaab', 'a', 'AAbbB', 'AABBBBB']","{'aaab': [0, 1], 'a': [2, 3], 'AAbbB': [4, 5, 6], 'AABBBBB': [7]}","[[[0, 0, 0, 0, 1.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [0, 0, 0, 0, 0, 0, 0, 1.0], [-0.0, -0.0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, -0.0, -0.0], [-0.0, -0.0, 0, 0, -0.0, -0.0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, 1.0, -0.0, 1.0], [-0.0, -0.0, 0, 0, -0.0, 0, 1.0, 1.0], [-0.0, -0.0, 0, 0, 1.0, -0.0, 0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0]]]",2.0,4,,,,True,0.2157813441008329,63.3419844256714
G?rNEo,3,4,2.0,"['bbB', 'bBBC', 'b', 'Bccc']","{'bbB': [5, 6], 'bBBC': [0, 1, 4], 'b': [2, 3], 'Bccc': [7]}","[[[0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, 0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 0]], [[0, 0, 0, 0, -0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, 1.0, 0], [0, 0, 0, 0, 0, 0, 0, 1.0], [1.0, -0.0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 1.0, 0, 0, 1.0, 0, 0, 0], [1.0, 1.0, -0.0, 0, 0, 0, 0, 0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 0]], [[0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, 0, -0.0, 0], [0, 0, 0, 0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, -0.0, 0, 0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 0, 0, 0, 0], [1.0, 1.0, 0, -0.0, 1.0, 0, 0, 0]]]",2.0,4,,,,True,35.28341057524085,14.01262065116316
G?reeg,5,5,3.0,"['a', 'ABCC', 'bccC', 'Bc', 'CCC']","{'a': [2], 'ABCC': [5], 'bccC': [0, 1, 7], 'Bc': [3, 4], 'CCC': [6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 0]]]",2.0,6,"['abBB', 'aB', 'AAAB', 'Abbb', 'bbB', 'b']","{'abBB': [1, 5], 'aB': [3, 4], 'AAAB': [7], 'Abbb': [0], 'bbB': [6], 'b': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",False,558.9503948679194,252.23271595221013
G?reew,5,5,2.0,"['abB', 'aBBBB', 'a', 'AbbB', 'Ab']","{'abB': [4, 6], 'aBBBB': [7], 'a': [2], 'AbbB': [0, 1, 5], 'Ab': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,14.654485952109098,55.21346988622099
G?refG,5,5,3.0,"['ac', 'aCC', 'ABcC', 'bbbC', 'c']","{'ac': [2, 4], 'aCC': [6], 'ABcC': [0, 1, 5], 'bbbC': [7], 'c': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,7,"['aaAB', 'abBB', 'aB', 'AAAB', 'Abbb', 'bbB', 'b']","{'aaAB': [0], 'abBB': [1], 'aB': [2, 4], 'AAAB': [5], 'Abbb': [7], 'bbB': [6], 'b': [3]}","[[[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 1, 0, 0]]]",False,572.8731153588742,37411.44762776885
G?refK,5,4,2.0,"['abBB', 'AAAAB', 'bb', 'b']","{'abBB': [0, 1, 5, 6], 'AAAAB': [7], 'bb': [2, 4], 'b': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,2.5331468051299453,27.839231171645224
G?refO,5,5,2.0,"['aBB', 'AAAB', 'bbbB', 'bb', 'b']","{'aBB': [4, 5, 6], 'AAAB': [1], 'bbbB': [0, 7], 'bb': [2], 'b': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 1, 0, 0, 0]]]",2.0,5,,,,True,23.712191310711205,16.51619931589812
G?refW,5,5,2.0,"['abBB', 'aB', 'AAAAb', 'bbB', 'b']","{'abBB': [0, 1, 5], 'aB': [2], 'AAAAb': [7], 'bbB': [4, 6], 'b': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0]]]",2.0,5,,,,True,25.326969514600933,60.666539926081896
G?ref[,5,5,3.0,"['aC', 'ABCCCC', 'bccC', 'BBc', 'B']","{'aC': [2], 'ABCCCC': [7], 'bccC': [0, 1, 5, 6], 'BBc': [4], 'B': [3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,6,"['abBB', 'aB', 'AABB', 'AbB', 'A', 'bbbbbb']","{'abBB': [0, 1, 6], 'aB': [2], 'AABB': [5], 'AbB': [4], 'A': [3], 'bbbbbb': [7]}","[[[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 1, 1, 1, 0]]]",False,599.0187466107309,393.50516351033
