Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCQbfS,3,4,2.0,"['aab', 'aAAAb', 'aAAB', 'AB']","{'aab': [0, 1, 2], 'aAAAb': [7], 'aAAB': [6], 'AB': [3, 4, 5]}","[[[0, 0, 0, -0.0, 0, 1.0, 0, 1.0], [0, 0, 0, 0, 0.0, 0, 1.0, 1.0], [0, 0, 0, 0, 0, -0.0, 1.0, 1.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0], [0, -0.0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, 0, 0], [0, -0.0, -0.0, 1.0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 1.0, 0, 0.0, 0]], [[0, 0, 0, 1.0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, 1.0, 0, 0.0, -0.0], [0, 0, 0, 0, 0, 1.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0], [0, -0.0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, 0, 0], [0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, 0.0, 0, 1.0, 0]], [[0, 0, 0, -0.0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0], [0, -0.0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, 0, 0], [0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, -0.0, 0, -0.0, 0]]]",2.0,4,,,,True,0.2717958437278867,50.46482694335282
GCQbfW,3,3,2.0,"['aAB', 'ab', 'AAbbb']","{'aAB': [0, 1, 2, 5, 6], 'ab': [3, 4], 'AAbbb': [7]}","[[[0, 0, 0, -0.0, 0, 1.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, 1.0], [0, 0, 0, 0, 0, -0.0, 1.0, -0.0], [1.0, 0, 0, 0, 0, 0, -0.0, 0], [0, -0.0, 0, 0, 0, 0, 0, 1.0], [-0.0, 0, 1.0, 0, 0, 0, 0, -0.0], [0, 1.0, -0.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, 1.0, 0], [0, 1.0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, 0, -0.0], [0, -0.0, -0.0, -0.0, 0, 0, 0, 0], [1.0, -0.0, 1.0, 0, -0.0, 1.0, 0, 0]], [[0, 0, 0, -0.0, 0, -0.0, 0, -0.0], [0, 0, 0, 0, -0.0, 0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0], [0, -0.0, 0, 0, 0, 0, 0, -0.0], [-0.0, 0, -0.0, 0, 0, 0, 0, -0.0], [0, -0.0, -0.0, -0.0, 0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, -0.0, -0.0, 0, 0]]]",2.0,3,,,,True,0.2741849971935153,34.082019379362464
GCQbf{,5,4,2.0,"['abB', 'AAbb', 'AAbBBBB', 'Ab']","{'abB': [0, 1, 2, 3, 5], 'AAbb': [6], 'AAbBBBB': [7], 'Ab': [4]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,7.961875963024795,45.47848527599126
GCQeRk,5,4,2.0,"['aB', 'AABBB', 'Abbb', 'bbB']","{'aB': [2, 3, 4], 'AABBB': [7], 'Abbb': [6], 'bbB': [0, 1, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,1.8916953429579733,28.061717443168163
GCQeRo,5,4,3.0,"['aC', 'ABBC', 'bbB', 'Bc']","{'aC': [2], 'ABBC': [7], 'bbB': [0, 1, 4, 6], 'Bc': [3, 5]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",3.0,4,,,,True,56.433578334748745,95845.191997651
GCQeRs,5,5,3.0,"['aC', 'ABcCC', 'AB', 'bcC', 'Bccc']","{'aC': [2, 3], 'ABcCC': [7], 'AB': [5], 'bcC': [0, 1, 4], 'Bccc': [6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0]]]",3.0,5,,,,True,1425.7604071348906,390120.35696144775
GCQeRw,5,3,2.0,"['aB', 'AABBB', 'bbB']","{'aB': [2, 3], 'AABBB': [7], 'bbB': [0, 1, 4, 5, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,3,,,,True,0.3158115036785602,10.834667451679708
GCQeR{,5,4,2.0,"['abB', 'AbbB', 'AbBBBB', 'Ab']","{'abB': [0, 1, 4, 5], 'AbbB': [6], 'AbBBBB': [7], 'Ab': [2, 3]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0]]]",2.0,4,,,,True,2.953428156673908,25.9221545830369
GCQeTg,5,4,2.0,"['aB', 'AbBB', 'AB', 'bbb']","{'aB': [1, 2, 3], 'AbBB': [0, 7], 'AB': [4], 'bbb': [5, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]",2.0,4,,,,True,1.1245060041546822,4.745043560862541
GCQeTk,5,5,2.0,"['abbB', 'ab', 'aBBBB', 'AA', 'AbB']","{'abbB': [0, 6], 'ab': [1, 2], 'aBBBB': [7], 'AA': [3, 4], 'AbB': [5]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,110.76083270087838,6.0530000403523445
