Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCRc~o,3,4,3.0,"['aB', 'ABBcC', 'bbBc', 'bBC']","{'aB': [2], 'ABBcC': [7], 'bbBc': [0, 5, 6], 'bBC': [1, 3, 4]}","[[[0, 0, 0, -0.0, 0, -0.0, 0.0, 0.0], [0, 0, 0, 0, -0.0, -0.0, 0, 0.0], [0, 0, 0, 0, 0, 0.0, 0, 1.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, 0, 0, 0, 0, 0.0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, -0.0, 0.0, -0.0, 0, 0], [-0.0, 0.0, -0.0, -0.0, 0.0, 0, 0, 0]], [[0, 0, 0, 1.0, 0, 0.0, 1.0, -0.0], [0, 0, 0, 0, 0.0, 0.0, 0, 1.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [0.0, 0, 0, 0, 0, 0, -0.0, 1.0], [0, 1.0, 0, 0, 0, 0, 0.0, 0.0], [1.0, 0.0, 1.0, 0, 0, 0, 0.0, 0], [-0.0, 0, 0, 0.0, 1.0, 1.0, 0, 0], [-0.0, -0.0, -0.0, 0.0, -0.0, 0, 0, 0]], [[0, 0, 0, -0.0, 0, 0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0.0, 1.0, -0.0, 0, 0, 0, -0.0, 0], [0.0, 0, 0, 1.0, -0.0, -0.0, 0, 0], [-0.0, -0.0, 0.0, -0.0, 1.0, 0, 0, 0]]]",2.0,6,"['aaab', 'aabBB', 'aaB', 'aAAb', 'AAB', 'Ab']","{'aaab': [0], 'aabBB': [7], 'aaB': [4], 'aAAb': [5, 6], 'AAB': [1, 3], 'Ab': [2]}","[[[0, 0, 0, 1.0, 0, 1.0, 1.0, 0.0], [0, 0, 0, 0, 0.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, 0.0], [0.0, 0, 0, 0, 0, 0, 0.0, -0.0], [0, 1.0, 0, 0, 0, 0, 1.0, -0.0], [-0.0, 0.0, 1.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, -0.0, 0.0, 1.0, 0, 0], [-0.0, 1.0, 0.0, 1.0, -0.0, 0, 0, 0]], [[0, 0, 0, 0.0, 0, -0.0, 0.0, 1.0], [0, 0, 0, 0, 0.0, -0.0, 0, 0.0], [0, 0, 0, 0, 0, -0.0, 0, 1.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 0.0], [0, 0.0, 0, 0, 0, 0, 0.0, 0.0], [-0.0, 1.0, 0.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, 1.0, -0.0, 0.0, 0, 0], [0.0, -0.0, 0.0, -0.0, 1.0, 0, 0, 0]]]",False,6.06866860948503,941.6439845319836
GCRc~s,3,5,3.0,"['acCCC', 'ABBBBC', 'bcC', 'bC', 'cccC']","{'acCCC': [6], 'ABBBBC': [7], 'bcC': [1, 3, 4], 'bC': [2], 'cccC': [0, 5]}","[[[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0, -0.0, -0.0], [0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, -0.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, -0.0, -0.0, -0.0, 0, 1.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, -0.0, 0]], [[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 0, 1.0], [0, 0, 0, 0, 0, -0.0, 0, 1.0], [-0.0, 0, 0, 0, 0, 0, -0.0, 1.0], [0, -0.0, 0, 0, 0, 0, -0.0, 1.0], [-0.0, -0.0, -0.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, -0.0, -0.0, -0.0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, -0.0, 0]], [[0, 0, 0, 1.0, 0, -0.0, 1.0, 1.0], [0, 0, 0, 0, 1.0, -0.0, 0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 0, 1.0, -0.0], [0, -0.0, 0, 0, 0, 0, 1.0, -0.0], [1.0, 1.0, 1.0, 0, 0, 0, -0.0, 0], [-0.0, 0, 0, -0.0, -0.0, 1.0, 0, -0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, -0.0, 0]]]",2.0,7,"['aAAB', 'abb', 'abBBB', 'aBB', 'Abbb', 'AbbBBB', 'AB']","{'aAAB': [5], 'abb': [1, 3], 'abBBB': [6], 'aBB': [4], 'Abbb': [0], 'AbbBBB': [7], 'AB': [2]}","[[[0, 0, 0, -0.0, 0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0.0, 1.0, 0, 0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [1.0, 0, 0, 0, 0, 0, 0.0, 0.0], [0, 0.0, 0, 0, 0, 0, 0.0, 1.0], [0.0, -0.0, 1.0, 0, 0, 0, -0.0, 0], [0.0, 0, 0, -0.0, -0.0, 1.0, 0, 0.0], [-0.0, -0.0, -0.0, -0.0, -0.0, 0, -0.0, 0]], [[0, 0, 0, -0.0, 0, 1.0, 1.0, 1.0], [0, 0, 0, 0, 1.0, 0.0, 0, 1.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [0.0, 0, 0, 0, 0, 0, 1.0, 1.0], [0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [0.0, -0.0, -0.0, 0, 0, 0, 0.0, 0], [-0.0, 0, 0, 0.0, 1.0, -0.0, 0, -0.0], [0.0, -0.0, 1.0, -0.0, 0.0, 0, 1.0, 0]]]",False,14.433986698277296,39456.15733053163
GCRdlk,5,5,3.0,"['a', 'AC', 'bcccC', 'BBBc', 'CCC']","{'a': [4], 'AC': [1], 'bcccC': [5, 6, 7], 'BBBc': [0], 'CCC': [2, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 1, 0], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0]]]",2.0,6,"['abBB', 'aB', 'AABBB', 'bbbBB', 'bbB', 'b']","{'abBB': [0], 'aB': [1], 'AABBB': [5], 'bbbBB': [6, 7], 'bbB': [2, 3], 'b': [4]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0]]]",False,355.2117615006864,243.54935005493465
GCRe~w,5,5,2.0,"['abBB', 'aB', 'AAAbBB', 'bbbBB', 'bbB']","{'abBB': [0, 1], 'aB': [2], 'AAAbBB': [7], 'bbbBB': [5, 6], 'bbB': [3, 4]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0, 0, 1], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0]]]",2.0,5,,,,True,55.63298672437668,201.0047315731645
GCRe~{,5,6,2.0,"['aBB', 'AABBBBB', 'bbbbBB', 'bbbBB', 'bbbB', 'bb']","{'aBB': [3, 4], 'AABBBBB': [7], 'bbbbBB': [6], 'bbbBB': [5], 'bbbB': [0, 1], 'bb': [2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,6,,,,True,131.11345867440104,331.84592966735363
GCRfK{,5,4,2.0,"['ab', 'aBBB', 'AbbBB', 'AbB']","{'ab': [2, 3, 4], 'aBBB': [0], 'AbbBB': [5, 6, 7], 'AbB': [1]}","[[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0]]]",2.0,4,,,,True,2.6736010052263737,32.370809357613325
GCRfL{,5,5,2.0,"['abBB', 'aB', 'AAAbBB', 'bbbBB', 'bbB']","{'abBB': [0], 'aB': [3, 4], 'AAAbBB': [7], 'bbbBB': [5, 6], 'bbB': [1, 2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0]]]",2.0,5,,,,True,38.25023239850998,126.88051361590624
GCRfMk,5,4,2.0,"['abbb', 'abBBB', 'AA', 'A']","{'abbb': [0, 1], 'abBBB': [5, 6, 7], 'AA': [2, 3], 'A': [4]}","[[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]]",2.0,4,,,,True,6.427561987191439,46.49684712290764
GCRfMw,5,3,2.0,"['aB', 'AbBB', 'bbbbB']","{'aB': [2, 3, 4], 'AbBB': [0, 1, 6], 'bbbbB': [5, 7]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 1, 0, 0]]]",2.0,3,,,,True,0.3213068656623363,18.73885567486286
GCRfM{,5,4,2.0,"['ab', 'aBBB', 'AAAbBB', 'AbbbB']","{'ab': [2, 3, 4], 'aBBB': [0, 1], 'AAAbBB': [7], 'AbbbB': [5, 6]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,6.389307476580143,57.35460655763745
