Graph,Methodnum,T_2 Value,T_2 Bonds,T_2 Pot,T_2 Pot Ratios,T_2 Orientation,B_2 Value,B_2 Tiles,B_2 Pot,B_2 Pot Ratios,B_2 Orientation,SamePot,TileTime,BondTime
GCruvW,3,4,3.0,"['aAAbc', 'aBcC', 'aC', 'ACC']","{'aAAbc': [0, 5, 7], 'aBcC': [1, 4, 6], 'aC': [2], 'ACC': [3]}","[[[0, 0, 0, -0.0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, 0, 1.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [1.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 1.0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, -0.0, 1.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 1.0, -0.0, 0, 0]], [[0, 0, 0, 1.0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 0, 0, 0, -0.0], [-0.0, 1.0, 0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, 1.0, 0, -0.0, -0.0, 0, 0]]]",2.0,6,"['aaAbb', 'abb', 'AbbB', 'Ab', 'BBBBB', 'BBBB']","{'aaAbb': [0, 7], 'abb': [3], 'AbbB': [1, 4], 'Ab': [2], 'BBBBB': [5], 'BBBB': [6]}","[[[0, 0, 0, -0.0, 1.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [1.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 0], [-0.0, 1.0, 1.0, 0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, -0.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 1.0, 1.0, 0], [-0.0, 1.0, 0, 0, 0, 0, 1.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 0], [-0.0, -0.0, -0.0, 0, 1.0, 1.0, 0, 0]]]",False,5.617144215852022,672.2435680059716
GCruv[,3,5,3.0,"['aaAACC', 'aacC', 'aAAbc', 'AC', 'BBB']","{'aaAACC': [7], 'aacC': [1, 4], 'aAAbc': [0, 5, 6], 'AC': [2], 'BBB': [3]}","[[[0, 0, 0, -0.0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, 1.0], [1.0, -0.0, -0.0, -0.0, 0, 0, 0, -0.0], [1.0, -0.0, 0, -0.0, -0.0, 0, 0, -0.0], [-0.0, -0.0, 1.0, 0, -0.0, 1.0, -0.0, 0]], [[0, 0, 0, 1.0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, 1.0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, -0.0, -0.0, -0.0, 0]], [[0, 0, 0, -0.0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, 1.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, 1.0], [-0.0, -0.0, -0.0, 0, -0.0, -0.0, -0.0, 0]]]",2.0,7,"['aaaaaB', 'aAbbB', 'aAb', 'AABBB', 'Abbb', 'AbBB', 'AB']","{'aaaaaB': [7], 'aAbbB': [0, 5], 'aAb': [3], 'AABBB': [6], 'Abbb': [1], 'AbBB': [4], 'AB': [2]}","[[[0, 0, 0, -0.0, -0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, 1.0, 0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, -0.0, 1.0, 0, 0, 0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, -0.0], [1.0, 1.0, 1.0, 0, 1.0, -0.0, 1.0, 0]], [[0, 0, 0, -0.0, 1.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 1.0, 1.0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [1.0, 0, 0, 0, 0, -0.0, -0.0, 0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0, 0, 0, 1.0], [-0.0, -0.0, 0, -0.0, -0.0, 0, 0, -0.0], [-0.0, -0.0, -0.0, 0, -0.0, -0.0, -0.0, 0]]]",False,7.218664445914328,30624.53503894061
GCru~w,3,4,3.0,"['aaAC', 'aAAbc', 'aAABcC', 'ac']","{'aaAC': [1, 3, 4], 'aAAbc': [0, 6], 'aAABcC': [5, 7], 'ac': [2]}","[[[0, 0, 0, 1.0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 1.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0, 1.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 1.0, -0.0, 1.0], [-0.0, -0.0, 0, 0, 0, 0, 1.0, 1.0], [1.0, -0.0, -0.0, -0.0, 0, 0, -0.0, -0.0], [1.0, -0.0, 0, -0.0, -0.0, -0.0, 0, 0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, -0.0, -0.0, -0.0, 0, 0, -0.0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, 1.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0, 0]], [[0, 0, 0, -0.0, 1.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, 1.0], [-0.0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [-0.0, 1.0, -0.0, -0.0, 0, 0, -0.0, -0.0], [-0.0, -0.0, 0, 1.0, -0.0, -0.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, -0.0, 1.0, 0, 0]]]",2.0,6,"['aaAbBB', 'abbb', 'abBB', 'aB', 'AAbBB', 'Abbb']","{'aaAbBB': [5, 7], 'abbb': [3], 'abBB': [1], 'aB': [2], 'AAbBB': [0, 6], 'Abbb': [4]}","[[[0, 0, 0, -0.0, -0.0, -0.0, -0.0, -0.0], [0, 0, 0, 0, -0.0, -0.0, 1.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, 1.0], [1.0, 0, 0, 0, 0, -0.0, -0.0, -0.0], [-0.0, -0.0, 0, 0, 0, 0, -0.0, -0.0], [1.0, -0.0, -0.0, -0.0, 0, 0, 1.0, -0.0], [-0.0, -0.0, 0, -0.0, -0.0, -0.0, 0, 0], [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0, 0]], [[0, 0, 0, -0.0, -0.0, -0.0, -0.0, 1.0], [0, 0, 0, 0, -0.0, 1.0, -0.0, -0.0], [0, 0, 0, 0, 0, -0.0, 0, -0.0], [-0.0, 0, 0, 0, 0, 1.0, 1.0, 1.0], [1.0, 1.0, 0, 0, 0, 0, 1.0, -0.0], [-0.0, -0.0, 1.0, -0.0, 0, 0, -0.0, -0.0], [1.0, -0.0, 0, -0.0, -0.0, -0.0, 0, 0], [-0.0, 1.0, -0.0, -0.0, -0.0, -0.0, 0, 0]]]",False,0.7738995989784598,1095.1147410394624
GCu~fW,5,4,2.0,"['aBBB', 'ABBB', 'bbbBB', 'bbB']","{'aBBB': [6], 'ABBB': [3], 'bbbBB': [0, 4, 5, 7], 'bbB': [1, 2]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 1, 1], [0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 1, 0, 0], [1, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 1, 0, 0, 0]]]",2.0,4,,,,True,6.470470535568893,132.4565895218402
GCu~f[,5,4,2.0,"['abBBB', 'AAbbBB', 'AAbb', 'bbb']","{'abBBB': [0, 4, 5, 6], 'AAbbBB': [7], 'AAbb': [3], 'bbb': [1, 2]}","[[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0]]]",2.0,4,,,,True,14.039424871094525,464.4899488836527
GCu~fo,5,4,2.0,"['aBBB', 'AAb', 'bbbBB', 'bbB']","{'aBBB': [5, 6], 'AAb': [2], 'bbbBB': [0, 3, 4, 7], 'bbB': [1]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1, 1, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 0, 0, 0]]]",2.0,4,,,,True,12.922012289986014,198.9543034881353
GCu~fs,5,4,2.0,"['abbB', 'abb', 'aBBBBB', 'AbbBB']","{'abbB': [5], 'abb': [1, 2], 'aBBBBB': [7], 'AbbBB': [0, 3, 4, 6]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,16.719983769580722,409.3200773810968
GCu~fw,5,4,2.0,"['abbBB', 'AABBBB', 'AABB', 'bbb']","{'abbBB': [0, 3, 4, 5], 'AABBBB': [7], 'AABB': [6], 'bbb': [1, 2]}","[[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]",2.0,4,,,,True,20.978167393244803,322.7393823657185
GCu~f{,5,3,1.0,"['aaaAA', 'aaA', 'AAAAAAA']","{'aaaAA': [0, 3, 4, 5, 6], 'aaA': [1, 2], 'AAAAAAA': [7]}","[[[0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0, 0, 1], [0, 0, 1, 0, 1, 0, 0, 1], [0, 1, 0, 1, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0]]]",1.0,3,,,,True,0.3193353284150362,2.966448664665222e-05
GCu~~{,5,5,2.0,"['aBB', 'AbBBBB', 'ABBBBB', 'bbbbbBB', 'bbbbB']","{'aBB': [1, 2], 'AbBBBB': [5], 'ABBBBB': [4], 'bbbbbBB': [6, 7], 'bbbbB': [0, 3]}","[[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]], [[0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 1, 1, 0, 1, 1, 0, 1], [0, 1, 1, 1, 1, 1, 0, 0]]]",2.0,5,,,,True,66.62183322478086,1800.8410240756348
